sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_1771_1_BM_CD138pos_pair	1.9244|0.0011	1.9244|0.0011	1.9071|0.0012	1.9089|0.0016	1.961|0.0011	1.961|0.0011	1.9896|0.0013	2.035|0.0015	2.8172|0.0028	1.9901|0.0025	1.9931|0.0018	1.9936|0.0024	2.0296|0.0022	1.9152|0.0014	1.9152|0.0014	2.8127|0.0052	2.8174|0.0051	1.0106|0.0018	3.7202|0.0024	1.4972|0.0021	2.9224|0.0032	2.8225|0.0045	2.0208|0.0024	2.7338|0.0037	2.8682|0.0015	3.1794|0.003	3.3296|0.0026	1.9057|0.0015	1.8891|0.0022	2.881|0.0014	2.881|0.0014	1.9474|0.001	1.9474|0.001	2.8347|0.0016	2.8339|0.0021	0.9803|0.0015	3.1321|0.0025	2.8201|0.0041	2.803|0.0022	1.9598|0.0012	1.9598|0.0012	2.0215|0.0013	3.7729|0.0024	2.0457|0.0018	2.0215|0.0013	2.0876|0.0015	3.1803|0.0021	3.1803|0.0021	1.9771|0.0011	2.0303|0.0093	2.0422|0.0013	1.0632|0.0018	2.0462|0.0024	2.0876|0.0015
MMRF_1772_1_BM_CD138pos_pair	3.3007|0.0025	3.8733|0.0026	3.9577|0.0015	6.2277|0.0033	3.5017|0.0017	2.7785|0.001	2.0292|7e-04	3.5897|0.0017	3.8543|0.0018	3.2954|0.0021	2.7036|0.0018	3.7916|0.002	3.7951|0.0027	4.0466|0.0014	4.0466|0.0014	4.2474|0.0038	4.2393|0.0036	2.2623|0.0011	4.8018|0.0022	2.4901|0.002	2.7367|0.003	3.9643|0.0024	3.7915|0.003	3.9752|0.0013	3.7631|0.001	4.0744|9e-04	4.0744|9e-04	3.6919|0.0022	4.0187|0.0011	3.975|0.0018	4.0508|0.0011	4.0097|0.0016	3.0398|0.0013	2.6735|0.0011	4.0376|0.0012	4.045|0.0011	4.045|0.0011	6.1323|0.004	5.9077|0.0035	4.0979|0.003	1.9827|0.0015	0.001|8e-04	2.009|0.009	0.6534|0.0015	0.001|8e-04	1.5995|0.0014	2.0699|0.0011	2.0699|0.0011	1.9724|0.0013	0.001|8e-04	0.0542|7e-04	0.001|8e-04	1.8165|0.002	1.5995|0.0014
MMRF_1773_1_BM_CD138pos_pair	1.9947|0.001	1.9947|0.001	1.9928|0.001	1.9928|0.001	1.9974|0.001	1.9974|0.001	2.0028|0.0011	1.9956|0.0013	1.9761|0.0016	1.9951|0.0022	2.0041|0.0018	1.9843|0.0014	1.9843|0.0014	1.9944|0.0013	1.9944|0.0013	1.9802|0.0018	1.9802|0.0018	1.0488|8e-04	2.6564|0.0295	1.9994|0.0021	1.9912|0.002	1.9936|0.0019	2.0013|0.002	1.9975|0.0012	1.9966|0.0014	1.0446|7e-04	1.9982|0.001	1.9987|0.0014	1.9959|0.0011	1.9989|0.001	2.9646|0.0029	1.9995|8e-04	1.9995|8e-04	1.984|0.0013	1.9859|0.0014	2.0026|0.0022	2.0012|0.001	1.996|0.002	1.9841|0.0051	1.9962|0.001	1.9962|0.001	2.0045|0.0015	1.9905|0.0011	2.0078|0.0018	1.0522|8e-04	2.0094|0.0012	2.0046|0.001	2.0046|0.001	1.9981|0.001	2.0065|0.0071	2.0062|0.0011	1.0522|8e-04	1.9877|0.0014	2.0094|0.0012
MMRF_1774_1_BM_CD138pos_pair	1.9998|0.0021	2.0066|0.0012	1.9666|0.0015	2.9869|0.0022	1.7262|0.004	1.9845|0.0011	0.9037|7e-04	1.7412|0.0021	1.9832|0.0019	2.0071|0.0028	1.3206|0.0049	0.8522|0.0021	1.9084|0.0017	2.0477|0.0014	2.0477|0.0014	2.6596|0.0076	1.947|0.0032	1.64|0.0021	2.0608|0.0017	1.9436|0.0023	2.0456|0.0023	2.0054|0.0021	1.9604|0.0022	2.0144|0.0013	2.014|0.001	1.9876|9e-04	1.9876|9e-04	2.0036|9e-04	2.0036|9e-04	2.0133|9e-04	2.0133|9e-04	2.0312|0.0018	2.0381|0.0011	1.9769|0.0011	1.9835|0.0016	2.0392|0.001	2.0392|0.001	1.9576|0.0012	1.9576|0.0012	2.9834|0.0022	4.2366|0.0513	1.9929|0.0013	2.0445|0.0013	1.011|0.0032	1.9929|0.0013	1.5663|0.0016	2.0356|0.001	2.0356|0.001	2.0031|0.0012	1.6364|0.0021	0.9001|7e-04	1.6364|0.0021	0.8487|0.0021	1.88|0.0033
MMRF_1775_1_BM_CD138pos_pair	1.9978|0.0019	1.9888|0.0012	2.9352|0.0017	2.9099|0.0021	2.0043|0.002	2.0205|0.0012	2.042|0.0012	2.0202|0.0019	4.0058|0.0032	2.0044|0.0014	2.0044|0.0014	1.907|0.0027	1.8895|0.0027	1.9866|0.0014	1.9866|0.0014	2.911|0.0026	2.911|0.0026	1.9896|0.0015	2.0182|0.0012	1.9957|0.0015	1.9957|0.0015	1.9821|0.002	1.9784|0.0033	1.9926|0.0012	1.9956|0.001	1.9857|8e-04	1.9857|8e-04	1.9852|0.0014	2|0.0011	3.0572|0.0013	3.0572|0.0013	2.0088|0.001	2.0097|9e-04	1.9519|0.0015	1.9302|0.0012	2.0086|0.001	2.0086|0.001	2.934|0.0015	2.934|0.0015	2.8836|0.0026	2.9397|0.0017	1.9995|0.0012	2.0231|0.0012	2.0088|0.0014	1.9995|0.0012	2.0239|0.0013	2.013|0.001	2.013|0.001	1.9932|0.0012	1.9995|0.0012	2.0464|0.0012	1.9995|0.0012	1.9115|0.0027	2.0239|0.0013
MMRF_1777_1_BM_CD138pos_pair	2.0005|0.0017	1.9966|0.0012	1.9372|0.0014	1.9901|0.0019	2.0109|0.001	2.0104|0.0011	2.0285|0.0011	2.0413|0.0018	3.0266|0.0016	1.9996|0.003	1.9298|0.0017	1.9554|0.0029	1.9304|0.0021	3.0777|0.0017	3.0777|0.0017	2.9933|0.0023	2.9933|0.0023	1.9947|0.0015	2.0322|0.0011	2.0323|0.0021	2.0092|0.002	4.1641|0.0032	2.0049|0.002	1.9866|0.0016	1.9829|0.001	1.9849|0.0013	1.9677|0.0015	1.968|8e-04	1.968|8e-04	3.0747|0.0011	3.0747|0.0011	3.0803|0.0012	3.0807|0.0015	3.0095|0.0012	3.0095|0.0012	1.9935|0.0011	2.0017|0.0017	3.0001|0.0014	3.0001|0.0014	2.0051|0.0015	1.9733|0.0027	1.9952|0.0011	2.0356|0.0011	1.9333|0.0017	1.9952|0.0011	2.0535|0.0014	1.9934|0.002	3.0315|0.0346	1.9982|0.0012	1.9952|0.0011	2.0319|0.0011	1.9952|0.0011	1.9662|0.0029	2.0535|0.0014
MMRF_1778_1_BM_CD138pos_pair	1.997|0.0013	1.997|0.0013	1.0637|0.0012	2.0074|0.0017	1.9916|0.0013	1.9916|0.0013	1.9812|0.003	1.677|0.0028	2.0011|0.0017	2.0161|0.0018	2.0161|0.0018	2.0258|0.003	2.0169|0.0025	1.9948|0.0026	1.9895|0.0025	1.9944|0.0041	2.0067|0.0026	1.0661|0.0017	3.2657|0.0043	2.0087|0.0028	2.0056|0.003	1.9774|0.0026	2.0274|0.0039	1.9694|0.0025	1.9913|0.0012	1.9942|0.0011	1.9942|0.0011	2.0076|0.0012	2.0044|0.0017	1.9969|0.0021	2.0094|0.0016	1.9951|0.0013	1.0588|0.0017	1.9968|0.0013	2.0013|0.0018	2.0068|0.0013	2.0068|0.0013	1.8971|0.0037	1.0639|0.0023	2.0063|0.0017	2.0063|0.0017	2.009|0.009	2.732|0.0041	2.015|0.0018	1.0664|0.0015	2.0923|0.0028	2.0057|0.0013	2.0057|0.0013	1.9959|0.0013	2.022|0.0107	2.0118|0.0027	1.0891|0.0076	2.0247|0.003	1.1097|0.0018
MMRF_1780_1_BM_CD138pos_pair	1.9927|0.001	1.9927|0.001	1.9923|0.0014	1.9956|0.0014	1.9976|0.0024	1.999|0.0013	1.9898|0.0011	1.0255|8e-04	2.0061|0.0012	1.9975|0.0013	1.9938|0.0015	2.002|0.0031	2.0072|0.0028	1.9889|0.0013	1.9889|0.0013	2.0008|0.0021	2.0043|0.0027	2.0047|0.0014	3.8829|0.0021	2.0029|0.0014	2.0029|0.0014	1.9904|0.0019	1.9929|0.0035	1.9893|0.0017	1.9947|0.001	1.9952|8e-04	1.9952|8e-04	1.9892|9e-04	1.9866|0.0011	1.9994|8e-04	1.9994|8e-04	2.0031|8e-04	2.0031|8e-04	1.9956|0.001	1.9943|0.0014	1.994|9e-04	1.994|9e-04	1.9907|0.001	1.9907|0.001	2.0002|0.0013	2.0002|0.0013	2.0097|0.0011	3.8877|0.0021	2.0023|0.0013	2.0097|0.0011	1.0303|8e-04	1.9988|9e-04	1.9988|9e-04	1.9975|0.001	2.0097|0.0011	1.9946|0.0011	2.0097|0.0011	2.0077|0.0026	2.0036|0.0023
MMRF_1781_1_BM_CD138pos_pair	2.0045|0.001	2.0045|0.001	2.0041|0.001	2.0041|0.001	1.9927|0.001	1.9927|0.001	1.9633|0.0016	1.097|9e-04	2.09|0.0014	2.0223|0.0033	1.1046|0.0015	2.0153|0.0027	2.0094|0.0016	2.0038|0.0014	2.0038|0.0014	2.9107|0.0044	2.9304|0.0035	2.0054|0.0014	2.9111|0.0017	1.1162|0.0015	2.0219|0.0018	2.0748|0.0021	2.0148|0.0021	2.9121|0.0018	1.9998|0.001	1.9982|0.0012	3.3636|0.007	1.9926|8e-04	1.9926|8e-04	2.201|0.0035	2.9148|0.0026	1.99|0.001	1.1993|0.0016	2.0131|0.001	2.0161|0.0015	1.1147|0.0011	1.9968|0.0014	1.9754|0.0026	2.0066|0.0014	1.9998|0.001	1.9998|0.001	1.9992|0.0011	2.9067|0.0017	1.0965|0.0013	1.9992|0.0011	1.0926|9e-04	1.9908|0.0012	1.9908|0.0012	2.0002|0.001	1.9992|0.0011	1.9513|0.0013	1.9992|0.0011	2.0139|0.0032	1.0926|9e-04
MMRF_1782_1_BM_CD138pos_pair	2.0118|0.0013	2.0118|0.0013	1.9708|0.0013	1.9708|0.0013	2.0436|0.0013	2.0436|0.0013	1.0641|8e-04	1.1387|9e-04	1.9796|0.0025	1.9211|0.002	1.9211|0.002	1.8225|0.0026	1.9001|0.0029	1.9968|0.0036	2.0055|0.0019	1.8965|0.0039	1.9168|0.0039	1.937|0.001	1.937|0.001	1.9989|0.003	2.0828|0.0023	1.012|0.0014	2.0177|0.0039	2.0061|0.0015	2.0067|0.0012	1.9899|0.001	1.9899|0.001	1.8412|0.0019	1.8494|0.0032	2.0137|0.0017	1.998|0.0015	2.02|0.0012	2.0202|0.0011	1.9668|0.0012	1.9668|0.0012	2.0225|0.0023	2.035|0.0013	2.8854|0.002	2.8854|0.002	1.981|0.0013	1.981|0.0013	1.9471|0.001	1.9471|0.001	1.9312|0.002	1.9471|0.001	1.1488|9e-04	2.0451|0.0013	2.0451|0.0013	2.0219|0.0013	1.9471|0.001	1.0743|8e-04	1.9471|0.001	1.8326|0.0026	1.1488|9e-04
MMRF_1783_1_BM_CD138pos_pair	1.8982|0.0011	1.8982|0.0011	1.976|0.0015	1.8413|0.0016	1.6041|0.002	2.0069|0.0013	1.0448|0.001	2.0346|0.0031	1.9902|0.0018	1.9257|0.0022	1.9257|0.0022	1.9362|0.0015	1.9362|0.0015	1.9754|0.0015	1.9754|0.0015	1.9132|0.0021	1.9132|0.0021	1.2609|0.0025	2.7885|0.0018	1.8608|0.0023	1.9972|0.0032	1.9665|0.0022	1.9221|0.0055	1.9867|0.0013	1.9895|0.001	1.987|0.0023	1.9957|0.0019	1.2918|0.0028	1.996|0.0011	2.0091|0.0022	1.9962|0.0011	2.0166|0.001	2.0166|0.001	1.9775|0.0011	1.9832|0.0017	1.6151|0.0017	1.9195|0.0049	2.0142|0.0021	2.1938|0.0037	1.8511|0.0016	1.9859|0.0015	2.0049|0.0014	2.7983|0.0018	1.9535|0.0027	1.2888|0.0088	2.0278|0.0018	2.0063|0.0014	1.9131|0.011	1.908|0.0011	2.009|0.009	1.0578|8e-04	1.2707|0.0025	1.946|0.0015	2.0278|0.0018
MMRF_1784_1_BM_CD138pos_pair	2.0095|8e-04	2.0095|8e-04	3.6231|0.0014	3.6231|0.0014	2.0102|0.0012	2.0072|0.0012	1.9961|0.001	2.0168|0.0017	3.4453|0.0023	2.0086|0.0019	2.0056|0.0016	2.0147|0.0029	2.037|0.0027	3.5799|0.0019	3.5799|0.0019	2.9454|0.0042	2.9348|0.0036	2.0052|9e-04	3.2133|0.0022	2.0157|0.0016	2.0339|0.0021	4.2975|0.0035	2.0108|0.0025	2.4079|0.0012	2.0074|8e-04	2.8771|0.0015	2.8778|0.0012	2.0074|7e-04	2.0074|7e-04	2.5055|9e-04	2.5059|0.0011	3.6756|0.003	2.5405|0.0016	2.8897|0.0011	2.8897|0.0011	2.5185|0.001	2.5185|0.001	2.9646|0.0022	2.9514|0.0016	3.614|0.0014	3.614|0.0014	1.9961|9e-04	3.2118|0.0025	1.9963|0.0013	1.9961|9e-04	2.9425|0.015	2.5094|0.001	2.5094|0.001	2.0004|8e-04	1.9961|9e-04	1.987|0.001	1.9961|9e-04	1.9937|0.0027	2.0044|0.0015
MMRF_1785_1_BM_CD138pos_pair	2.0081|0.0023	2.0202|0.0018	2.0215|0.0011	2.0215|0.0011	2.0395|0.0012	2.0395|0.0012	1.0652|7e-04	2.0698|0.0015	1.9927|0.0015	1.9927|0.0045	1.9997|0.0023	1.9805|0.0018	1.9867|0.0025	2.0092|0.0015	2.0092|0.0015	1.9536|0.0024	1.9536|0.0024	2.0397|0.0019	3.483|0.003	2.0388|0.0017	2.0388|0.0017	2.0039|0.0022	2.0507|0.0024	2.9908|0.0021	2.0071|0.0011	2.0009|0.0013	2.0059|0.002	2.0223|0.0014	2.0203|0.0016	2.0177|0.001	2.0177|0.001	2.9784|0.003	2.0187|0.0011	1.9984|0.0013	1.9941|0.0022	1.0319|0.0012	2.0171|0.0013	2.0292|0.0021	1.9841|0.0015	2.0084|0.0011	2.0084|0.0011	2.0294|0.0013	3.7695|0.003	1.9844|0.002	2.0294|0.0013	2.0567|0.0015	2.009|0.0012	2.009|0.0012	1.9986|0.0014	2.0294|0.0013	1.052|7e-04	2.0294|0.0013	1.9673|0.0018	1.7155|0.024
MMRF_1786_1_BM_CD138pos_pair	1.994|0.0013	1.994|0.0013	2.8274|0.0018	2.8274|0.0018	2.0272|0.0025	2.0486|0.0015	1.0731|8e-04	2.0314|0.0025	3.8125|0.0031	1.9647|0.0027	1.9644|0.0019	1.8614|0.0016	1.8614|0.0016	2.0073|0.0037	1.9905|0.0018	2.752|0.0035	2.7569|0.0048	2.0059|0.0013	1.999|0.0014	2.0462|0.0028	2.0004|0.0025	2.6808|0.0034	1.9848|0.0026	1.9976|0.0015	2.0004|0.0012	1.962|0.001	1.962|0.001	2.0005|0.001	2.0005|0.001	2.9829|0.0024	2.9732|0.0025	1.9316|0.0011	1.9216|0.0013	1.9301|0.0012	1.9297|0.0016	1.9544|0.0012	1.9544|0.0012	2.8726|0.0032	2.7606|0.0024	2.8369|0.0018	2.8369|0.0018	2.0153|0.0013	2.0085|0.0014	1.9739|0.0019	2.0153|0.0013	2.0415|0.0016	1.9639|0.0012	1.9639|0.0012	2.0035|0.0013	2.0153|0.0013	1.0826|8e-04	2.0153|0.0013	1.8708|0.0016	2.0415|0.0016
MMRF_1787_1_BM_CD138pos_pair	2.0771|0.0021	2.002|9e-04	2.0164|0.0013	2.0804|0.0022	2.0115|9e-04	2.0115|9e-04	2.0345|0.0015	2.0419|0.0022	2.0272|0.0019	1.9837|0.002	2.0274|0.0016	2.1027|0.0036	2.0956|0.0031	2.0084|0.0012	2.0084|0.0012	1.945|0.0055	1.9855|0.0017	2.0643|0.0019	2.7083|0.0024	2.0999|0.0027	2.0891|0.0025	2.0145|0.0018	2.0009|0.0026	2.0369|0.0017	2.0086|8e-04	2.0633|0.0023	2.0295|0.0018	2.0118|0.0015	2.0389|0.0014	2.0119|0.0011	2.0305|0.0012	3.0128|0.0041	1.0053|7e-04	2.0003|9e-04	2.0027|0.0013	2.0149|0.0012	2.0416|0.0014	2.0102|0.0017	2.0148|0.0054	1.9832|0.0013	2.9296|0.0136	3.0207|0.0086	2.9202|0.0028	2.0155|0.0016	2.0242|0.0012	2.021|0.0011	2.0002|0.0013	2.0002|0.0013	1.9901|9e-04	2.0242|0.0012	2.0186|0.0016	2.0242|0.0012	1.976|0.0021	2.021|0.0011
MMRF_1790_1_BM_CD138pos_pair	1.9929|0.0015	1.9972|0.0011	2.0012|9e-04	2.0012|9e-04	1.993|9e-04	1.993|9e-04	2.0092|0.0015	2.0011|0.0014	1.9958|0.0015	1.9824|0.0031	1.9837|0.0017	1.9939|0.0017	2.0015|0.0022	1.99|0.0011	1.99|0.0011	1.9786|0.0018	1.9791|0.0024	2.0045|7e-04	2.0045|7e-04	1.4828|0.0015	2.4985|0.0021	1.9892|0.0017	1.9922|0.0018	2.0065|0.001	2.0071|8e-04	2.0057|8e-04	2.0082|0.0013	2.0068|7e-04	2.0068|7e-04	2.0139|0.0011	2.0083|0.001	2.0115|8e-04	2.0115|8e-04	2.0043|8e-04	2.0043|8e-04	2.0064|8e-04	2.0064|8e-04	2.0044|0.0016	1.9932|0.0012	2|9e-04	2|9e-04	2.0033|7e-04	2.0033|7e-04	1.9839|0.0015	2.0033|7e-04	2.0015|0.0011	2.0052|8e-04	2.0052|8e-04	1.9962|0.0011	2.0033|7e-04	2.0068|0.0012	2.0033|7e-04	1.9927|0.0017	2.0015|0.0011
MMRF_1792_1_BM_CD138pos_pair	1.9987|0.0013	1.9987|0.0013	2.8959|0.0024	2.8239|0.0025	2.0324|0.0013	2.0324|0.0013	1.9864|0.0015	2.038|0.0025	3.9545|0.0031	1.9533|0.0043	1.1162|0.002	1.8748|0.0023	1.8618|0.0024	2.005|0.003	1.9955|0.0017	2.9565|0.004	2.9536|0.0052	2.013|0.0017	2.0109|0.0014	1.9965|0.0019	1.9965|0.0019	3.0459|0.0037	1.9934|0.0046	2.0069|0.0015	2.0088|0.0012	1.9806|0.0013	1.9804|0.001	2.0025|0.001	2.0025|0.001	3.0617|0.0031	3.0803|0.0019	2.028|0.0016	0.9454|9e-04	2.9326|0.0018	2.9317|0.0024	1.0501|0.0016	2.0152|0.0014	2.9081|0.0032	2.8932|0.0034	2.8021|0.0025	2.8972|0.0024	2.0198|0.0014	2.0122|0.0014	1.129|0.0024	2.0198|0.0014	2.0429|0.0016	2.0164|0.0014	2.0164|0.0014	2|0.0013	2.0122|0.0014	1.9877|0.0015	2.0198|0.0014	1.876|0.0023	2.0429|0.0016
MMRF_1793_1_BM_CD138pos_pair	1.9911|0.0031	1.9896|0.0017	1.9517|0.0011	1.9517|0.0011	2.0142|0.0012	2.0142|0.0012	2.0192|0.0013	2.0197|0.0024	3.849|0.0036	2.0109|0.0036	2.0031|0.002	1.9259|0.0015	1.9259|0.0015	1.9678|0.0015	1.9678|0.0015	2.8791|0.0034	2.8833|0.0048	1.325|0.0015	1.9789|0.002	2.019|0.0025	2.0191|0.0023	2.0295|0.0022	2.0294|0.0024	1.9731|0.0015	1.9736|0.001	2.9275|0.0015	2.8994|0.0024	2.9346|0.0022	2.9226|0.0017	2.9501|0.0014	2.9501|0.0014	1.9869|0.001	1.9869|0.001	2.8686|0.0033	2.8701|0.0024	1.9905|0.0011	1.9979|0.0018	2.8433|0.0017	2.8433|0.0017	1.9606|0.0011	1.9606|0.0011	2.0178|0.0017	1.9954|0.0023	2.012|0.002	1.3339|0.0015	2.053|0.0017	1.9994|0.0011	2.6083|0.0488	1.9976|0.0014	2.0092|0.0048	2.0281|0.0013	2.0092|0.0048	1.9348|0.0015	2.053|0.0017
MMRF_1794_1_BM_CD138pos_pair	1.9877|0.001	1.9877|0.001	2|0.001	2|0.001	1.9238|0.0018	2.0024|0.0011	1.0373|6e-04	2.0001|0.0016	1.1961|0.0014	1.9725|0.002	1.9743|0.0014	1.9749|0.0035	1.9843|0.0015	1.9986|0.0013	1.9986|0.0013	1.9786|0.0043	1.9639|0.0032	1.9562|0.0021	2.785|0.0033	1.9756|0.0014	1.9756|0.0014	1.9889|0.0022	1.9655|0.0019	1.9987|0.0011	2.0125|9e-04	1.9992|0.0011	2.0114|0.0013	2.0243|8e-04	2.0243|8e-04	2.7383|0.0022	1.2336|0.002	2.4332|0.0022	1.2858|8e-04	1.1444|0.0014	2.0075|0.0016	1.9983|0.0012	2.0029|0.0013	1.9988|0.0017	2.9075|0.0037	2.0017|0.001	2.0017|0.001	1.9909|0.0013	2.7881|0.0028	1.976|0.0014	1.0864|0.0052	2.0034|0.0012	2.0096|0.0015	2.0096|0.0015	1.9894|0.001	1.9633|0.0022	1.039|6e-04	1.9633|0.0022	1.9639|0.0029	2.0034|0.0012
MMRF_1795_1_BM_CD138pos_pair	1.9634|0.0011	1.9634|0.0011	2.8606|0.0022	2.829|0.0022	1.9997|0.0021	1.8065|0.0013	2.0696|0.0019	1.8467|0.0025	3.6493|0.0051	1.9853|0.0042	1.9827|0.0019	1.9078|0.0023	1.8702|0.003	2.9175|0.0023	2.918|0.0028	3.7519|0.0079	2.8283|0.0057	1.0147|0.0016	2.8313|0.0018	2.0098|0.0024	1.9987|0.0023	3.9401|0.0043	2.0431|0.0024	2.9454|0.002	2.9419|0.0015	2.9244|0.0026	2.8467|0.0031	1.9599|0.0019	1.9506|0.0014	2.9502|0.0027	3.3041|0.0027	2.9553|0.0022	2.9553|0.0022	2.8318|0.0033	2.831|0.0025	1.9143|0.0014	1.9143|0.0014	3.7576|0.0052	3.6498|0.0027	2.8501|0.0022	2.8929|0.0022	2.0307|0.0013	2.8636|0.0018	2.015|0.0019	2.0307|0.0013	1.1222|0.0021	2.0312|0.0016	2.0312|0.0016	1.9957|0.0011	1.047|0.0016	2.0969|0.0017	1.047|0.0016	1.9402|0.0023	2.1676|0.0025
MMRF_1796_1_BM_CD138pos_pair	2.0052|0.0013	2.0021|0.0015	1.9866|0.001	1.9866|0.001	2.0233|0.001	2.0233|0.001	2.0478|0.0012	2.0221|0.0015	1.98|0.0014	1.9786|0.0031	2.9208|0.0025	2.8826|0.0052	2.8798|0.0023	2.0109|0.0013	2.0109|0.0013	3.758|0.0053	1.9298|0.0022	1.9965|0.002	2.0222|0.0011	1.9204|0.0038	2.0061|0.0019	2.0054|0.0019	1.9433|0.0049	2.0082|0.0014	2.0132|0.0012	2.0149|0.001	2.009|8e-04	2.0067|0.0014	2.0191|0.0011	2.0177|0.0012	2.0164|8e-04	2.0161|9e-04	2.0161|9e-04	1.9861|0.0014	2.8405|0.0023	2.0176|0.0014	2.0143|9e-04	1.9677|0.001	1.9677|0.001	1.9783|0.001	1.9783|0.001	2.0214|0.0013	2.0139|0.0011	2.9125|0.0025	2.0214|0.0013	2.0183|0.0012	2.0061|9e-04	2.0061|9e-04	1.9972|0.0015	2.0214|0.0013	2.0395|0.0012	2.0214|0.0013	2.8864|0.0044	2.0183|0.0012
MMRF_1797_1_BM_CD138pos_pair	2.0005|0.001	2.0005|0.001	2.0278|0.0023	2.0115|0.0016	2.0108|0.001	2.0108|0.001	2.0184|0.0016	2.0254|0.0016	2.0021|0.0013	2.0001|0.0027	2.0175|0.0016	1.9867|0.0025	1.9818|0.0015	2.0135|0.0013	2.0135|0.0013	2.0074|0.0046	1.9904|0.003	2.0163|0.001	2.6888|0.0023	2.0061|0.0014	2.0061|0.0014	2.0235|0.0027	2.0053|0.0028	2.0131|0.0012	2.0111|9e-04	2.0242|0.0014	2.025|0.0011	2.0085|8e-04	2.0085|8e-04	2.0107|0.0019	1.0564|0.0018	2.0137|0.0012	1.0659|7e-04	1.9943|0.001	1.9969|0.0014	2.0108|9e-04	2.0108|9e-04	2.0101|0.0011	2.0101|0.0011	1.9859|0.0014	3.0866|0.0188	2.0057|0.001	2.8876|0.0021	2.0069|0.0016	2.0057|0.001	2.0091|0.0012	2.0003|9e-04	2.0003|9e-04	1.9899|0.001	2.0057|0.001	2.0033|0.0016	2.0057|0.001	1.9786|0.003	2.0091|0.0012
MMRF_1801_1_BM_CD138pos_pair	1.9881|0.0011	1.9881|0.0011	1.9868|0.0013	1.9783|0.0017	1.9959|0.0011	1.9959|0.0011	1.0273|0.0011	2.0244|0.0015	1.9765|0.0014	1.9801|0.0039	2.0569|0.0041	1.9916|0.0015	1.9916|0.0015	1.9846|0.0014	1.9846|0.0014	1.9703|0.002	1.9775|0.0025	1.9979|0.0016	2.8709|0.0024	2.0109|0.0024	2.0075|0.0022	2.0981|0.0023	1.037|0.0027	1.9853|0.0013	1.9821|0.001	1.9727|9e-04	1.974|0.0011	1.984|0.0018	0.9941|0.0014	1.9832|0.0013	1.9808|9e-04	0.9995|0.0016	1.9867|0.0012	1.9086|0.0027	1.9721|0.0017	1.9936|0.0019	1.9941|0.0017	2.0838|0.0021	2.0516|0.0015	1.9825|0.0018	2.0001|0.0013	2.0102|0.0012	2.9004|0.0021	2.0108|0.0022	2.0102|0.0012	2.0395|0.0014	2.0019|0.0018	2.0019|0.0018	2.0013|0.0011	2.0102|0.0012	1.0405|0.0011	2.0102|0.0012	2.0048|0.0015	2.0395|0.0014
MMRF_1802_1_BM_CD138pos_pair	1.9817|0.0012	1.9817|0.0012	2.8228|0.0016	2.8228|0.0016	1.9996|0.0018	1.837|0.0039	2.0402|0.0014	2.0282|0.0017	2.8839|0.0036	3.8481|0.0104	2.0918|0.0048	1.9124|0.003	1.8652|0.003	1.9659|0.0015	1.9659|0.0015	3.7498|0.0069	3.7934|0.0073	1.9862|9e-04	1.9862|9e-04	1.9992|0.0017	1.9992|0.0017	1.9557|0.0023	1.989|0.0034	1.9736|0.0014	1.9703|0.0011	3.3198|0.0074	3.1442|0.0031	2.9487|0.0028	2.9426|0.0016	2.9589|0.0014	2.9589|0.0014	1.9864|0.0011	1.9862|0.001	2.8692|0.002	2.8671|0.0029	1.9924|0.0012	2.0384|0.0048	2.8169|0.0018	2.8169|0.0018	2.8373|0.0016	2.8373|0.0016	2.0007|9e-04	2.0007|9e-04	0.397|0.0034	2.0007|9e-04	2.0499|0.0015	2.0069|0.0012	2.0069|0.0012	1.9963|0.0012	2.0007|9e-04	2.0547|0.0014	2.0007|9e-04	1.9269|0.003	2.0499|0.0015
